PG.ProteinGroups	[1] 2408_UE_34-ORS-A1.raw.PG.Quantity	[2] 2408_UE_35-ORS-B1.raw.PG.Quantity	[3] 2408_UE_36-ORS-C1.raw.PG.Quantity	[4] 2408_UE_37-ORS-D1.raw.PG.Quantity	[5] 2408_UE_39-ORS-A2.raw.PG.Quantity	[6] 2408_UE_40-ORS-B2.raw.PG.Quantity	[7] 2408_UE_41-ORS-C2.raw.PG.Quantity	[8] 2408_UE_42-ORS-D2.raw.PG.Quantity	[9] 2408_UE_44-ORS-A3.raw.PG.Quantity	[10] 2408_UE_45-ORS-B3.raw.PG.Quantity	[11] 2408_UE_47-ORS-C3.raw.PG.Quantity	[12] 2408_UE_49-ORS-D3.raw.PG.Quantity
P38606	78240.234375	10472.9814453125	18651.919921875	10197.0185546875	62778.40234375	8199.583984375	1543.9337158203125	12515.69921875	57569.85546875	45.22453308105469	5767.02099609375	5452.35009765625
P38919	794341.875	2414197.5	1394138.75	1184577.125	798918.8125	2624016.75	1302738.625	846390.9375	836164.625	2680350.75	929153.6875	1136204.75
P39019	42377.39453125	91974.4921875	29821.5546875	17305.505859375	15766.5244140625	36926.26953125	24695.83984375	76023.5390625	16563.78125	56685.35546875	10045.6162109375	62259.73046875
P39023	309908.78125	615685.8125	325310.65625	449628.0625	260681.4375	427661.4375	347274.71875	426785.28125	234100.109375	487828.8125	335383.375	431891.8125
P39656	94134.0546875	56206	58131.77734375	48462.71875	98077.4140625	49878.19921875	50819.95703125	46505.421875	79786.25	47094.00390625	105231.78125	29752.919921875
P40429	178676.90625	374972.9375	237399.234375	387525.90625	153346.46875	326577	272215.21875	353754.28125	181457.46875	370475.6875	226486.921875	296834.09375
P40616	68653.8359375	8415.38671875	13637.6279296875	NaN	26009.8046875	12125.861328125	11582.8388671875	3295.766357421875	8855.5263671875	3560.585205078125	17265.05859375	6015.8408203125
P40763	114769.28125	54414.3984375	28875.771484375	8154.673828125	38343.203125	33726.890625	10842.607421875	191.82273864746094	6756.65234375	7332.5966796875	14094.8349609375	3423.9150390625
P40925	208530.234375	124605.84375	128013.953125	NaN	196044.234375	82511.984375	130848.484375	98290.234375	112454.140625	173455.953125	92700.1015625	26607.25390625
P40926	174993.90625	96908.3046875	107433.234375	89846.0859375	155654.984375	96673.0859375	108164.4296875	99563.53125	156274.75	88498.7578125	92823.6875	103772.4375
P40939	16300.4892578125	13398.01953125	18939.107421875	11416.595703125	21901.349609375	15943.349609375	21752.58203125	14264.5546875	17844.09765625	16253.1435546875	34674.48046875	8999.927734375
P41091	15904.3740234375	13367.447265625	8949.51171875	3140.245361328125	14200.7080078125	11777.966796875	7709.35693359375	3955.93701171875	10482.96484375	8379.103515625	13533.9755859375	10703.37109375
P41223	31929.36328125	108955.5390625	60293.51953125	37592.0078125	30968.21875	74056.765625	48298.69921875	49555	29178.439453125	70857.09375	29307.498046875	35155.921875
P41250	16107.3115234375	16576.919921875	16734.8671875	9788.1552734375	23354.44921875	12130.634765625	72975.6328125	9989.4765625	23229.525390625	4139.3154296875	22697.82421875	7378.96533203125
P41252	27601.388671875	7727.42529296875	7466.611328125	780.6124877929688	8123.43701171875	7182.89013671875	2820.313232421875	945.3015747070312	30785.931640625	NaN	10001.9033203125	NaN
P42677	84574.0859375	124577.0234375	95660.546875	164038.703125	80524.0390625	51985.72265625	151332.796875	162977.609375	89837.5078125	139661.328125	54450.18359375	128948.734375
P42704	40759.61328125	35412.77734375	45196.078125	22222.240234375	34369.796875	35912.5390625	46141.90234375	32472.34765625	31810.193359375	32834.27734375	85477.8828125	27113.3984375
P42766	8800.263671875	NaN	NaN	6522.9638671875	2.4878878593444824	NaN	12595.4248046875	13070.556640625	1961.646240234375	8160.8095703125	15682.5283203125	14645.54296875
P43243	242479.1875	489493.96875	388950.75	469419.09375	256915.71875	411463.46875	426448.6875	487736.8125	270852.15625	523379.21875	308130.375	507228.40625
P45880	336202	144043.65625	125963.4921875	124170.109375	282443.40625	105469.1796875	124663.7265625	188121.796875	328258.0625	154223.890625	183611.375	125677.640625
P45973	420731.625	1347698.75	1541050.75	83216.703125	1071240.5	876079	1320380.125	371163.3125	206236.546875	NaN	567539.25	36703.24609375
P45974	17323.75390625	12963.3583984375	13066.9033203125	5309.44970703125	14556.705078125	11377.673828125	17248.556640625	13834.9287109375	14810.4052734375	17118.5546875	28213.5546875	NaN
